"BehaviorSpace results (NetLogo 6.2.1)"
"AtaqueComponentes.nlogo"
"AtaqueAleat-DosRedes"
"09/08/2022 08:34:30:732 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","la-red","num-ataques","num-nodos","[step]","num-componentes"
"1","aleatorio","aleatoria","0","200","0","9"
"8","aleatorio","aleatoria","0","200","0","4"
"2","aleatorio","aleatoria","0","200","0","7"
"9","aleatorio","aleatoria","0","200","0","4"
"7","aleatorio","aleatoria","0","200","0","5"
"3","aleatorio","aleatoria","0","200","0","5"
"6","aleatorio","aleatoria","0","200","0","4"
"11","aleatorio","aleatoria","0","200","0","3"
"10","aleatorio","aleatoria","0","200","0","2"
"13","aleatorio","aleatoria","0","200","0","5"
"16","aleatorio","aleatoria","0","200","0","7"
"14","aleatorio","aleatoria","0","200","0","6"
"17","aleatorio","aleatoria","0","200","0","6"
"15","aleatorio","aleatoria","0","200","0","8"
"5","aleatorio","aleatoria","0","200","0","5"
"4","aleatorio","aleatoria","0","200","0","6"
"18","aleatorio","aleatoria","0","200","0","8"
"21","aleatorio","aleatoria","0","200","0","2"
"24","aleatorio","aleatoria","0","200","0","4"
"26","aleatorio","aleatoria","0","200","0","4"
"20","aleatorio","aleatoria","0","200","0","8"
"23","aleatorio","aleatoria","0","200","0","3"
"25","aleatorio","aleatoria","0","200","0","4"
"22","aleatorio","aleatoria","0","200","0","8"
"27","aleatorio","aleatoria","0","200","0","4"
"29","aleatorio","aleatoria","0","200","0","5"
"32","aleatorio","aleatoria","0","200","0","2"
"30","aleatorio","aleatoria","0","200","0","4"
"19","aleatorio","aleatoria","0","200","0","3"
"12","aleatorio","aleatoria","0","200","0","5"
"33","aleatorio","aleatoria","0","200","0","8"
"28","aleatorio","aleatoria","0","200","0","5"
"34","aleatorio","aleatoria","0","200","0","10"
"36","aleatorio","aleatoria","0","200","0","3"
"37","aleatorio","aleatoria","0","200","0","6"
"39","aleatorio","aleatoria","0","200","0","5"
"35","aleatorio","aleatoria","0","200","0","5"
"40","aleatorio","aleatoria","0","200","0","1"
"42","aleatorio","aleatoria","0","200","0","4"
"44","aleatorio","aleatoria","0","200","0","6"
"41","aleatorio","aleatoria","0","200","0","4"
"46","aleatorio","aleatoria","0","200","0","5"
"43","aleatorio","aleatoria","0","200","0","1"
"47","aleatorio","aleatoria","0","200","0","3"
"48","aleatorio","aleatoria","0","200","0","5"
"45","aleatorio","aleatoria","0","200","0","4"
"52","aleatorio","aleatoria","0","200","0","2"
"38","aleatorio","aleatoria","0","200","0","8"
"49","aleatorio","aleatoria","0","200","0","4"
"53","aleatorio","aleatoria","0","200","0","2"
"54","aleatorio","aleatoria","0","200","0","4"
"55","aleatorio","aleatoria","0","200","0","3"
"51","aleatorio","aleatoria","0","200","0","4"
"58","aleatorio","aleatoria","0","200","0","6"
"57","aleatorio","aleatoria","0","200","0","4"
"50","aleatorio","aleatoria","0","200","0","5"
"62","aleatorio","aleatoria","0","200","0","4"
"61","aleatorio","aleatoria","0","200","0","3"
"65","aleatorio","aleatoria","0","200","0","3"
"60","aleatorio","aleatoria","0","200","0","6"
"66","aleatorio","aleatoria","0","200","0","4"
"59","aleatorio","aleatoria","0","200","0","5"
"67","aleatorio","aleatoria","0","200","0","6"
"64","aleatorio","aleatoria","0","200","0","6"
"63","aleatorio","aleatoria","0","200","0","4"
"31","aleatorio","aleatoria","0","200","0","2"
"69","aleatorio","aleatoria","0","200","0","7"
"70","aleatorio","aleatoria","0","200","0","5"
"68","aleatorio","aleatoria","0","200","0","8"
"74","aleatorio","aleatoria","0","200","0","2"
"76","aleatorio","aleatoria","0","200","0","5"
"75","aleatorio","aleatoria","0","200","0","3"
"77","aleatorio","aleatoria","0","200","0","6"
"56","aleatorio","aleatoria","0","200","0","6"
"78","aleatorio","aleatoria","0","200","0","5"
"80","aleatorio","aleatoria","0","200","0","4"
"81","aleatorio","aleatoria","0","200","0","6"
"84","aleatorio","aleatoria","0","200","0","6"
"85","aleatorio","aleatoria","0","200","0","5"
"83","aleatorio","aleatoria","0","200","0","5"
"86","aleatorio","aleatoria","0","200","0","3"
"87","aleatorio","aleatoria","0","200","0","6"
"73","aleatorio","aleatoria","0","200","0","3"
"89","aleatorio","aleatoria","0","200","0","3"
"90","aleatorio","aleatoria","0","200","0","5"
"79","aleatorio","aleatoria","0","200","0","5"
"92","aleatorio","aleatoria","0","200","0","5"
"88","aleatorio","aleatoria","0","200","0","5"
"71","aleatorio","aleatoria","0","200","0","7"
"94","aleatorio","aleatoria","0","200","0","3"
"95","aleatorio","aleatoria","0","200","0","6"
"97","aleatorio","aleatoria","0","200","0","7"
"99","aleatorio","aleatoria","0","200","0","4"
"93","aleatorio","aleatoria","0","200","0","3"
"91","aleatorio","aleatoria","0","200","0","8"
"100","aleatorio","aleatoria","0","200","0","3"
"96","aleatorio","aleatoria","0","200","0","3"
"101","aleatorio","aleatoria","0","200","0","4"
"98","aleatorio","aleatoria","0","200","0","4"
"102","aleatorio","aleatoria","0","200","0","9"
"105","aleatorio","aleatoria","0","200","0","5"
"103","aleatorio","aleatoria","0","200","0","5"
"107","aleatorio","aleatoria","0","200","0","3"
"108","aleatorio","aleatoria","0","200","0","3"
"72","aleatorio","aleatoria","0","200","0","7"
"109","aleatorio","aleatoria","0","200","0","8"
"110","aleatorio","aleatoria","0","200","0","8"
"106","aleatorio","aleatoria","0","200","0","5"
"111","aleatorio","aleatoria","0","200","0","9"
"113","aleatorio","aleatoria","0","200","0","7"
"115","aleatorio","aleatoria","0","200","0","3"
"114","aleatorio","aleatoria","0","200","0","5"
"82","aleatorio","aleatoria","0","200","0","6"
"119","aleatorio","aleatoria","0","200","0","6"
"118","aleatorio","aleatoria","0","200","0","6"
"121","aleatorio","aleatoria","0","200","0","6"
"123","aleatorio","aleatoria","0","200","0","8"
"117","aleatorio","aleatoria","0","200","0","2"
"124","aleatorio","aleatoria","0","200","0","4"
"125","aleatorio","aleatoria","0","200","0","5"
"127","aleatorio","aleatoria","0","200","0","7"
"122","aleatorio","aleatoria","0","200","0","2"
"112","aleatorio","aleatoria","0","200","0","7"
"128","aleatorio","aleatoria","0","200","0","6"
"126","aleatorio","aleatoria","0","200","0","9"
"130","aleatorio","aleatoria","0","200","0","3"
"116","aleatorio","aleatoria","0","200","0","4"
"131","aleatorio","aleatoria","0","200","0","1"
"133","aleatorio","aleatoria","0","200","0","5"
"132","aleatorio","aleatoria","0","200","0","5"
"135","aleatorio","aleatoria","0","200","0","5"
"134","aleatorio","aleatoria","0","200","0","5"
"138","aleatorio","aleatoria","0","200","0","5"
"136","aleatorio","aleatoria","0","200","0","6"
"139","aleatorio","aleatoria","0","200","0","8"
"140","aleatorio","aleatoria","0","200","0","9"
"141","aleatorio","aleatoria","0","200","0","5"
"120","aleatorio","aleatoria","0","200","0","2"
"144","aleatorio","aleatoria","0","200","0","4"
"129","aleatorio","aleatoria","0","200","0","5"
"145","aleatorio","aleatoria","0","200","0","5"
"143","aleatorio","aleatoria","0","200","0","14"
"148","aleatorio","aleatoria","0","200","0","5"
"150","aleatorio","aleatoria","0","200","0","4"
"142","aleatorio","aleatoria","0","200","0","3"
"147","aleatorio","aleatoria","0","200","0","8"
"137","aleatorio","aleatoria","0","200","0","4"
"152","aleatorio","aleatoria","0","200","0","6"
"104","aleatorio","aleatoria","0","200","0","4"
"155","aleatorio","aleatoria","0","200","0","6"
"154","aleatorio","aleatoria","0","200","0","6"
"153","aleatorio","aleatoria","0","200","0","6"
"156","aleatorio","aleatoria","0","200","0","4"
"151","aleatorio","aleatoria","0","200","0","11"
"158","aleatorio","aleatoria","0","200","0","7"
"161","aleatorio","aleatoria","0","200","0","7"
"162","aleatorio","aleatoria","0","200","0","3"
"163","aleatorio","aleatoria","0","200","0","5"
"159","aleatorio","aleatoria","0","200","0","6"
"160","aleatorio","aleatoria","0","200","0","2"
"164","aleatorio","aleatoria","0","200","0","4"
"149","aleatorio","aleatoria","0","200","0","5"
"165","aleatorio","aleatoria","0","200","0","4"
"168","aleatorio","aleatoria","0","200","0","8"
"170","aleatorio","aleatoria","0","200","0","3"
"157","aleatorio","aleatoria","0","200","0","3"
"167","aleatorio","aleatoria","0","200","0","7"
"166","aleatorio","aleatoria","0","200","0","3"
"172","aleatorio","aleatoria","0","200","0","4"
"173","aleatorio","aleatoria","0","200","0","5"
"146","aleatorio","aleatoria","0","200","0","2"
"174","aleatorio","aleatoria","0","200","0","3"
"177","aleatorio","aleatoria","0","200","0","3"
"169","aleatorio","aleatoria","0","200","0","7"
"178","aleatorio","aleatoria","0","200","0","4"
"179","aleatorio","aleatoria","0","200","0","7"
"180","aleatorio","aleatoria","0","200","0","4"
"171","aleatorio","aleatoria","0","200","0","4"
"175","aleatorio","aleatoria","0","200","0","4"
"176","aleatorio","aleatoria","0","200","0","8"
"183","aleatorio","aleatoria","0","200","0","5"
"184","aleatorio","aleatoria","0","200","0","1"
"182","aleatorio","aleatoria","0","200","0","5"
"189","aleatorio","aleatoria","0","200","0","3"
"185","aleatorio","aleatoria","0","200","0","8"
"190","aleatorio","aleatoria","0","200","0","5"
"193","aleatorio","aleatoria","0","200","0","3"
"187","aleatorio","aleatoria","0","200","0","6"
"191","aleatorio","aleatoria","0","200","0","6"
"186","aleatorio","aleatoria","0","200","0","4"
"192","aleatorio","aleatoria","0","200","0","5"
"188","aleatorio","aleatoria","0","200","0","5"
"194","aleatorio","aleatoria","0","200","0","4"
"197","aleatorio","aleatoria","0","200","0","2"
"195","aleatorio","aleatoria","0","200","0","3"
"199","aleatorio","aleatoria","0","200","0","5"
"196","aleatorio","aleatoria","0","200","0","3"
"201","aleatorio","aleatoria","0","200","0","4"
"203","aleatorio","aleatoria","0","200","0","7"
"202","aleatorio","aleatoria","0","200","0","4"
"205","aleatorio","aleatoria","0","200","0","6"
"204","aleatorio","aleatoria","0","200","0","2"
"208","aleatorio","aleatoria","0","200","0","9"
"206","aleatorio","aleatoria","0","200","0","4"
"210","aleatorio","aleatoria","0","200","0","6"
"200","aleatorio","aleatoria","0","200","0","7"
"212","aleatorio","aleatoria","0","200","0","5"
"207","aleatorio","aleatoria","0","200","0","5"
"211","aleatorio","aleatoria","0","200","0","3"
"213","aleatorio","aleatoria","0","200","0","7"
"214","aleatorio","aleatoria","0","200","0","6"
"181","aleatorio","aleatoria","0","200","0","4"
"218","aleatorio","aleatoria","0","200","0","7"
"216","aleatorio","aleatoria","0","200","0","10"
"215","aleatorio","aleatoria","0","200","0","5"
"209","aleatorio","aleatoria","0","200","0","5"
"198","aleatorio","aleatoria","0","200","0","8"
"221","aleatorio","aleatoria","0","200","0","5"
"217","aleatorio","aleatoria","0","200","0","2"
"219","aleatorio","aleatoria","0","200","0","5"
"223","aleatorio","aleatoria","0","200","0","6"
"222","aleatorio","aleatoria","0","200","0","7"
"226","aleatorio","aleatoria","0","200","0","3"
"227","aleatorio","aleatoria","0","200","0","2"
"230","aleatorio","aleatoria","0","200","0","2"
"225","aleatorio","aleatoria","0","200","0","3"
"232","aleatorio","aleatoria","0","200","0","5"
"229","aleatorio","aleatoria","0","200","0","9"
"233","aleatorio","aleatoria","0","200","0","5"
"231","aleatorio","aleatoria","0","200","0","4"
"236","aleatorio","aleatoria","0","200","0","3"
"237","aleatorio","aleatoria","0","200","0","4"
"235","aleatorio","aleatoria","0","200","0","2"
"234","aleatorio","aleatoria","0","200","0","5"
"238","aleatorio","aleatoria","0","200","0","3"
"239","aleatorio","aleatoria","0","200","0","3"
"224","aleatorio","aleatoria","0","200","0","7"
"241","aleatorio","aleatoria","0","200","0","8"
"244","aleatorio","aleatoria","0","200","0","6"
"243","aleatorio","aleatoria","0","200","0","6"
"242","aleatorio","aleatoria","0","200","0","4"
"245","aleatorio","aleatoria","0","200","0","4"
"246","aleatorio","aleatoria","0","200","0","7"
"247","aleatorio","aleatoria","0","200","0","7"
"248","aleatorio","aleatoria","0","200","0","3"
"250","aleatorio","aleatoria","0","200","0","3"
"249","aleatorio","aleatoria","0","200","0","8"
"251","aleatorio","aleatoria","0","200","0","5"
"252","aleatorio","aleatoria","0","200","0","1"
"255","aleatorio","aleatoria","0","200","0","4"
"254","aleatorio","aleatoria","0","200","0","4"
"256","aleatorio","aleatoria","0","200","0","3"
