"BehaviorSpace results (NetLogo 6.2.1)"
"AtaqueComponentes.nlogo"
"experiment"
"09/07/2022 16:23:38:640 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","la-red","num-ataques","num-nodos","[step]","num-componentes"
"2","aleatorio","preferencial","5","200","5","1"
"9","aleatorio","preferencial","5","200","5","1"
"5","aleatorio","preferencial","5","200","5","1"
"8","aleatorio","preferencial","5","200","5","1"
"6","aleatorio","preferencial","5","200","5","1"
"10","aleatorio","preferencial","5","200","5","1"
"4","aleatorio","preferencial","5","200","5","1"
"11","aleatorio","preferencial","5","200","5","1"
"1","aleatorio","preferencial","5","200","5","1"
"7","aleatorio","preferencial","5","200","5","1"
"13","aleatorio","preferencial","5","200","5","1"
"16","aleatorio","preferencial","5","200","5","1"
"15","aleatorio","preferencial","5","200","5","1"
"3","aleatorio","preferencial","5","200","5","1"
"19","aleatorio","preferencial","5","200","5","1"
"17","aleatorio","preferencial","5","200","5","1"
"12","aleatorio","preferencial","5","200","5","1"
"20","aleatorio","preferencial","5","200","5","2"
"23","aleatorio","preferencial","5","200","5","1"
"18","aleatorio","preferencial","5","200","5","1"
"21","aleatorio","preferencial","5","200","5","1"
"24","aleatorio","preferencial","5","200","5","1"
"25","aleatorio","preferencial","5","200","5","1"
"22","aleatorio","preferencial","5","200","5","1"
"26","aleatorio","preferencial","5","200","5","1"
"28","aleatorio","preferencial","5","200","5","1"
"29","aleatorio","preferencial","5","200","5","1"
"30","aleatorio","preferencial","5","200","5","2"
"33","aleatorio","preferencial","5","200","5","1"
"27","aleatorio","preferencial","5","200","5","1"
"31","aleatorio","preferencial","5","200","5","1"
"14","aleatorio","preferencial","5","200","5","1"
"34","aleatorio","preferencial","5","200","5","1"
"36","aleatorio","preferencial","5","200","5","1"
"32","aleatorio","preferencial","5","200","5","1"
"35","aleatorio","preferencial","5","200","5","1"
"39","aleatorio","preferencial","5","200","5","1"
"42","aleatorio","preferencial","5","200","5","1"
