"BehaviorSpace results (NetLogo 6.2.1)"
"ExperimentoDifusiónTresModelos.nlogo"
"DiffTresModelos"
"09/07/2022 12:37:26:086 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","la-red","num-nodos","[step]","ticks"
"1","mundoPequeño","50","29","29"
"6","mundoPequeño","50","18","18"
"5","mundoPequeño","50","18","18"
"3","mundoPequeño","50","23","23"
"7","mundoPequeño","50","19","19"
"2","mundoPequeño","50","20","20"
"8","mundoPequeño","50","21","21"
"10","mundoPequeño","50","14","14"
"4","mundoPequeño","50","21","21"
"12","mundoPequeño","50","15","15"
"11","mundoPequeño","50","20","20"
"13","mundoPequeño","50","15","15"
"18","mundoPequeño","50","16","16"
"16","mundoPequeño","50","19","19"
"9","mundoPequeño","50","17","17"
"15","mundoPequeño","50","21","21"
"14","mundoPequeño","50","20","20"
"17","mundoPequeño","50","17","17"
"22","mundoPequeño","50","15","15"
"24","mundoPequeño","50","14","14"
"20","mundoPequeño","50","13","13"
"23","mundoPequeño","50","16","16"
"19","mundoPequeño","50","19","19"
"21","mundoPequeño","50","22","22"
"31","mundoPequeño","50","10","10"
"27","mundoPequeño","50","18","18"
"28","mundoPequeño","50","16","16"
"26","mundoPequeño","50","21","21"
"30","mundoPequeño","50","11","11"
"34","mundoPequeño","50","15","15"
"25","mundoPequeño","50","16","16"
"33","mundoPequeño","50","14","14"
"29","mundoPequeño","50","13","13"
"35","mundoPequeño","50","15","15"
"32","mundoPequeño","50","16","16"
"38","mundoPequeño","50","18","18"
"39","mundoPequeño","50","19","19"
"42","mundoPequeño","50","15","15"
"37","mundoPequeño","50","18","18"
"36","mundoPequeño","50","20","20"
"44","mundoPequeño","50","14","14"
"45","mundoPequeño","50","13","13"
"40","mundoPequeño","50","15","15"
"46","mundoPequeño","50","16","16"
"49","mundoPequeño","50","11","11"
"43","mundoPequeño","50","16","16"
"48","mundoPequeño","50","15","15"
"41","mundoPequeño","50","17","17"
"47","mundoPequeño","50","13","13"
"51","mundoPequeño","50","19","19"
"50","mundoPequeño","50","19","19"
"59","mundoPequeño","50","13","13"
"57","mundoPequeño","50","20","20"
"55","mundoPequeño","50","14","14"
"60","mundoPequeño","50","17","17"
"61","mundoPequeño","50","15","15"
"52","mundoPequeño","50","16","16"
"53","mundoPequeño","50","15","15"
"58","mundoPequeño","50","16","16"
"62","mundoPequeño","50","15","15"
"63","mundoPequeño","50","13","13"
"54","mundoPequeño","50","21","21"
"56","mundoPequeño","50","17","17"
"66","mundoPequeño","50","14","14"
"64","mundoPequeño","50","23","23"
"69","mundoPequeño","50","12","12"
"67","mundoPequeño","50","19","19"
"72","mundoPequeño","50","18","18"
"65","mundoPequeño","50","19","19"
"68","mundoPequeño","50","21","21"
"73","mundoPequeño","50","17","17"
"74","mundoPequeño","50","24","24"
"76","mundoPequeño","50","16","16"
"70","mundoPequeño","50","16","16"
"79","mundoPequeño","50","14","14"
"80","mundoPequeño","50","18","18"
"71","mundoPequeño","50","21","21"
"81","mundoPequeño","50","26","26"
"83","mundoPequeño","50","18","18"
"85","mundoPequeño","50","15","15"
"77","mundoPequeño","50","23","23"
"84","mundoPequeño","50","18","18"
"86","mundoPequeño","50","21","21"
"87","mundoPequeño","50","19","19"
"88","mundoPequeño","50","15","15"
"89","mundoPequeño","50","15","15"
"91","mundoPequeño","50","14","14"
"75","mundoPequeño","50","18","18"
"90","mundoPequeño","50","15","15"
"82","mundoPequeño","50","16","16"
"95","mundoPequeño","50","14","14"
"92","mundoPequeño","50","15","15"
"78","mundoPequeño","50","14","14"
"96","mundoPequeño","50","23","23"
"98","mundoPequeño","50","15","15"
"97","mundoPequeño","50","18","18"
"99","mundoPequeño","50","13","13"
"100","mundoPequeño","50","19","19"
"93","mundoPequeño","50","15","15"
"104","mundoPequeño","100","20","20"
"102","mundoPequeño","100","22","22"
"105","mundoPequeño","100","22","22"
"101","mundoPequeño","100","21","21"
"103","mundoPequeño","100","23","23"
"106","mundoPequeño","100","30","30"
"109","mundoPequeño","100","17","17"
"108","mundoPequeño","100","29","29"
"111","mundoPequeño","100","17","17"
"110","mundoPequeño","100","28","28"
"113","mundoPequeño","100","21","21"
"94","mundoPequeño","50","17","17"
"115","mundoPequeño","100","21","21"
"114","mundoPequeño","100","21","21"
"107","mundoPequeño","100","30","30"
"112","mundoPequeño","100","25","25"
"117","mundoPequeño","100","27","27"
"116","mundoPequeño","100","22","22"
"118","mundoPequeño","100","22","22"
"121","mundoPequeño","100","22","22"
"119","mundoPequeño","100","19","19"
"126","mundoPequeño","100","23","23"
"120","mundoPequeño","100","22","22"
"125","mundoPequeño","100","20","20"
"123","mundoPequeño","100","24","24"
"122","mundoPequeño","100","27","27"
"127","mundoPequeño","100","21","21"
"124","mundoPequeño","100","19","19"
"130","mundoPequeño","100","26","26"
"129","mundoPequeño","100","27","27"
"131","mundoPequeño","100","26","26"
"135","mundoPequeño","100","24","24"
"128","mundoPequeño","100","28","28"
"137","mundoPequeño","100","19","19"
"134","mundoPequeño","100","30","30"
"132","mundoPequeño","100","21","21"
"136","mundoPequeño","100","24","24"
"133","mundoPequeño","100","29","29"
"139","mundoPequeño","100","18","18"
"141","mundoPequeño","100","22","22"
"144","mundoPequeño","100","24","24"
"142","mundoPequeño","100","21","21"
"140","mundoPequeño","100","22","22"
"146","mundoPequeño","100","20","20"
"147","mundoPequeño","100","19","19"
"143","mundoPequeño","100","20","20"
"138","mundoPequeño","100","29","29"
"148","mundoPequeño","100","22","22"
"149","mundoPequeño","100","23","23"
"145","mundoPequeño","100","23","23"
"152","mundoPequeño","100","16","16"
"151","mundoPequeño","100","28","28"
"154","mundoPequeño","100","23","23"
"153","mundoPequeño","100","22","22"
"158","mundoPequeño","100","16","16"
"155","mundoPequeño","100","28","28"
"150","mundoPequeño","100","36","36"
"157","mundoPequeño","100","19","19"
"159","mundoPequeño","100","22","22"
"161","mundoPequeño","100","23","23"
"163","mundoPequeño","100","17","17"
"162","mundoPequeño","100","22","22"
"165","mundoPequeño","100","16","16"
"168","mundoPequeño","100","18","18"
"166","mundoPequeño","100","27","27"
"167","mundoPequeño","100","21","21"
"164","mundoPequeño","100","20","20"
"156","mundoPequeño","100","26","26"
"160","mundoPequeño","100","31","31"
"171","mundoPequeño","100","24","24"
"173","mundoPequeño","100","19","19"
"170","mundoPequeño","100","25","25"
"172","mundoPequeño","100","28","28"
"174","mundoPequeño","100","25","25"
"177","mundoPequeño","100","21","21"
"169","mundoPequeño","100","24","24"
"180","mundoPequeño","100","29","29"
"176","mundoPequeño","100","29","29"
"175","mundoPequeño","100","27","27"
"181","mundoPequeño","100","21","21"
"178","mundoPequeño","100","19","19"
"183","mundoPequeño","100","29","29"
"185","mundoPequeño","100","23","23"
"182","mundoPequeño","100","24","24"
"188","mundoPequeño","100","17","17"
"186","mundoPequeño","100","28","28"
"191","mundoPequeño","100","19","19"
"189","mundoPequeño","100","18","18"
"184","mundoPequeño","100","16","16"
"190","mundoPequeño","100","20","20"
"192","mundoPequeño","100","23","23"
"193","mundoPequeño","100","31","31"
"196","mundoPequeño","100","23","23"
"197","mundoPequeño","100","21","21"
"194","mundoPequeño","100","22","22"
"195","mundoPequeño","100","21","21"
"199","mundoPequeño","100","16","16"
"198","mundoPequeño","100","25","25"
"200","mundoPequeño","100","21","21"
"202","mundoPequeño","150","30","30"
"204","mundoPequeño","150","23","23"
"201","mundoPequeño","150","27","27"
"206","mundoPequeño","150","25","25"
"205","mundoPequeño","150","32","32"
"179","mundoPequeño","100","30","30"
"203","mundoPequeño","150","23","23"
"210","mundoPequeño","150","27","27"
"207","mundoPequeño","150","25","25"
"208","mundoPequeño","150","21","21"
"211","mundoPequeño","150","26","26"
"214","mundoPequeño","150","28","28"
"209","mundoPequeño","150","33","33"
"216","mundoPequeño","150","27","27"
"215","mundoPequeño","150","29","29"
"217","mundoPequeño","150","34","34"
"218","mundoPequeño","150","28","28"
"187","mundoPequeño","100","21","21"
"212","mundoPequeño","150","26","26"
"213","mundoPequeño","150","27","27"
"220","mundoPequeño","150","25","25"
"221","mundoPequeño","150","32","32"
"222","mundoPequeño","150","34","34"
"227","mundoPequeño","150","27","27"
"228","mundoPequeño","150","24","24"
"225","mundoPequeño","150","24","24"
"226","mundoPequeño","150","24","24"
"229","mundoPequeño","150","27","27"
"231","mundoPequeño","150","24","24"
"224","mundoPequeño","150","23","23"
"223","mundoPequeño","150","32","32"
"230","mundoPequeño","150","25","25"
"233","mundoPequeño","150","33","33"
"235","mundoPequeño","150","22","22"
"232","mundoPequeño","150","24","24"
"236","mundoPequeño","150","27","27"
"238","mundoPequeño","150","23","23"
"237","mundoPequeño","150","33","33"
"219","mundoPequeño","150","29","29"
"239","mundoPequeño","150","30","30"
"240","mundoPequeño","150","29","29"
"244","mundoPequeño","150","32","32"
"243","mundoPequeño","150","28","28"
"246","mundoPequeño","150","28","28"
"247","mundoPequeño","150","30","30"
"248","mundoPequeño","150","25","25"
"245","mundoPequeño","150","27","27"
"242","mundoPequeño","150","22","22"
"241","mundoPequeño","150","31","31"
"251","mundoPequeño","150","23","23"
"250","mundoPequeño","150","25","25"
"254","mundoPequeño","150","22","22"
"252","mundoPequeño","150","30","30"
"253","mundoPequeño","150","29","29"
"234","mundoPequeño","150","22","22"
"255","mundoPequeño","150","27","27"
"256","mundoPequeño","150","31","31"
"259","mundoPequeño","150","25","25"
