"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidades.nlogo"
"VillageCentralidad"
"09/07/2022 13:27:17:692 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","num-semillas","tipo-semillas","[step]","ticks"
"2","3","degree","188","188"
"6","3","degree","73","73"
"8","3","degree","51","51"
"5","3","degree","92","92"
"1","3","degree","72","72"
"4","3","degree","78","78"
"7","3","degree","63","63"
"10","3","degree","73","73"
"9","3","degree","137","137"
"11","3","degree","101","101"
"3","3","degree","108","108"
"12","3","degree","54","54"
"16","3","degree","54","54"
"13","3","degree","81","81"
"18","3","degree","52","52"
"17","3","degree","117","117"
"21","3","degree","58","58"
"15","3","degree","99","99"
"19","3","degree","37","37"
"20","3","degree","72","72"
"14","3","degree","132","132"
"25","3","degree","65","65"
"23","3","degree","67","67"
"22","3","degree","64","64"
"24","3","degree","109","109"
"28","3","degree","70","70"
"31","3","degree","48","48"
"30","3","degree","42","42"
"26","3","degree","67","67"
"27","3","degree","60","60"
"29","3","degree","73","73"
"35","3","degree","57","57"
"34","3","degree","60","60"
"36","3","degree","56","56"
"33","3","degree","53","53"
"32","3","degree","107","107"
"37","3","degree","75","75"
"41","3","degree","63","63"
"42","3","degree","48","48"
"40","3","degree","110","110"
"39","3","degree","81","81"
"38","3","degree","59","59"
"46","3","degree","48","48"
"43","3","degree","95","95"
"48","3","degree","77","77"
"47","3","degree","121","121"
"50","3","degree","58","58"
"49","3","degree","77","77"
"45","3","degree","55","55"
"44","3","degree","78","78"
"53","3","degree","42","42"
"54","3","degree","41","41"
"52","3","degree","49","49"
"55","3","degree","56","56"
"51","3","degree","53","53"
"58","3","degree","62","62"
"59","3","degree","68","68"
"56","3","degree","61","61"
"62","3","degree","68","68"
"60","3","degree","120","120"
"65","3","degree","60","60"
"57","3","degree","63","63"
"61","3","degree","88","88"
"63","3","degree","45","45"
"67","3","degree","46","46"
"66","3","degree","63","63"
"64","3","degree","59","59"
"69","3","degree","49","49"
"71","3","degree","60","60"
"70","3","degree","65","65"
"73","3","degree","96","96"
"74","3","degree","47","47"
"68","3","degree","145","145"
"76","3","degree","69","69"
"77","3","degree","57","57"
"72","3","degree","115","115"
"79","3","degree","45","45"
"75","3","degree","131","131"
"82","3","degree","37","37"
"81","3","degree","76","76"
"78","3","degree","86","86"
"83","3","degree","46","46"
