"BehaviorSpace results (NetLogo 6.2.1)"
"VillagesCentralidadesConLímite.nlogo"
"VillageLímite"
"09/07/2022 13:43:17:887 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-semillas","límite","[step]","count turtles with [color = red]"
"1","eigen","10","10","122"
"9","eigen","10","10","132"
"10","eigen","10","10","112"
"11","eigen","10","10","109"
"5","eigen","10","10","118"
"12","eigen","10","10","125"
"2","eigen","10","10","116"
"7","eigen","10","10","123"
"6","eigen","10","10","137"
"4","eigen","10","10","117"
"3","eigen","10","10","133"
"8","eigen","10","10","134"
"13","eigen","10","10","129"
"17","eigen","10","10","126"
"14","eigen","10","10","125"
"15","eigen","10","10","117"
"16","eigen","10","10","132"
"18","eigen","10","10","120"
"20","eigen","10","10","127"
"24","eigen","10","10","128"
"19","eigen","10","10","129"
"23","eigen","10","10","124"
"25","eigen","10","10","121"
"22","eigen","10","10","126"
"21","eigen","10","10","117"
"28","eigen","10","10","127"
"26","eigen","10","10","120"
"27","eigen","10","10","123"
"31","eigen","10","10","127"
"30","eigen","10","10","128"
"33","eigen","10","10","108"
"32","eigen","10","10","120"
"34","eigen","10","10","120"
"29","eigen","10","10","124"
"36","eigen","10","10","128"
"38","eigen","10","10","125"
"35","eigen","10","10","129"
"37","eigen","10","10","141"
"39","eigen","10","10","120"
"44","eigen","10","10","123"
"40","eigen","10","10","118"
"43","eigen","10","10","139"
"41","eigen","10","10","106"
"42","eigen","10","10","134"
"46","eigen","10","10","117"
"45","eigen","10","10","118"
"49","eigen","10","10","132"
"51","eigen","10","10","135"
"47","eigen","10","10","129"
"48","eigen","10","10","121"
"50","eigen","10","10","132"
"52","eigen","10","10","121"
"54","eigen","10","10","125"
"53","eigen","10","10","122"
"56","eigen","10","10","124"
"57","eigen","10","10","118"
"55","eigen","10","10","130"
"58","eigen","10","10","132"
"59","eigen","10","10","124"
"61","eigen","10","10","115"
"62","eigen","10","10","125"
"66","eigen","10","10","108"
"64","eigen","10","10","127"
"60","eigen","10","10","126"
"63","eigen","10","10","118"
"65","eigen","10","10","121"
"67","eigen","10","10","123"
"68","eigen","10","10","126"
"70","eigen","10","10","134"
"72","eigen","10","10","131"
"69","eigen","10","10","129"
"74","eigen","10","10","127"
"73","eigen","10","10","133"
"71","eigen","10","10","128"
"76","eigen","10","10","131"
"77","eigen","10","10","125"
"75","eigen","10","10","125"
"78","eigen","10","10","126"
"79","eigen","10","10","121"
"81","eigen","10","10","139"
"82","eigen","10","10","123"
"83","eigen","10","10","108"
"80","eigen","10","10","122"
"84","eigen","10","10","128"
"85","eigen","10","10","125"
"87","eigen","10","10","109"
"90","eigen","10","10","129"
"89","eigen","10","10","130"
"86","eigen","10","10","121"
"91","eigen","10","10","112"
"92","eigen","10","10","121"
"93","eigen","10","10","137"
"88","eigen","10","10","118"
"94","eigen","10","10","128"
"96","eigen","10","10","132"
"95","eigen","10","10","115"
"97","eigen","10","10","127"
"98","eigen","10","10","125"
"100","eigen","10","10","133"
"105","eigen","10","10","126"
"104","eigen","10","10","140"
"99","eigen","10","10","130"
"102","eigen","10","10","139"
"101","eigen","10","10","131"
"107","eigen","10","10","120"
"103","eigen","10","10","129"
"106","eigen","10","10","120"
"108","eigen","10","10","115"
"110","eigen","10","10","126"
"111","eigen","10","10","124"
"113","eigen","10","10","132"
"112","eigen","10","10","121"
"115","eigen","10","10","138"
"109","eigen","10","10","125"
"114","eigen","10","10","105"
"117","eigen","10","10","103"
"118","eigen","10","10","126"
