"BehaviorSpace results (NetLogo 6.2.1)"
"AtaqueComponentes.nlogo"
"experiment"
"09/08/2022 08:26:37:748 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-ataque","la-red","num-nodos","num-ataques","[step]","num-componentes"
"7","hubs","preferencial","200","5","10","16"
"9","hubs","preferencial","200","5","10","8"
"10","hubs","preferencial","200","5","10","19"
"5","hubs","preferencial","200","5","10","14"
"8","hubs","preferencial","200","5","10","15"
"3","hubs","preferencial","200","5","10","23"
"4","hubs","preferencial","200","5","10","15"
"1","hubs","preferencial","200","5","10","11"
"6","hubs","preferencial","200","5","10","16"
"2","hubs","preferencial","200","5","10","16"
"12","hubs","preferencial","200","5","10","12"
"13","hubs","preferencial","200","5","10","16"
"14","hubs","preferencial","200","5","10","8"
"15","hubs","preferencial","200","5","10","13"
"16","hubs","preferencial","200","5","10","19"
"17","hubs","preferencial","200","5","10","20"
"18","hubs","preferencial","200","5","10","16"
"23","hubs","preferencial","200","5","10","23"
"21","hubs","preferencial","200","5","10","13"
"20","hubs","preferencial","200","5","10","22"
"22","hubs","preferencial","200","5","10","33"
"11","hubs","preferencial","200","5","10","17"
"19","hubs","preferencial","200","5","10","20"
"26","hubs","preferencial","200","5","10","22"
"25","hubs","preferencial","200","5","10","16"
"28","hubs","preferencial","200","5","10","16"
"31","hubs","preferencial","200","5","10","21"
"32","hubs","preferencial","200","5","10","26"
"29","hubs","preferencial","200","5","10","24"
"33","hubs","preferencial","200","5","10","13"
"35","hubs","preferencial","200","5","10","18"
"34","hubs","preferencial","200","5","10","24"
"36","hubs","preferencial","200","5","10","18"
"37","hubs","preferencial","200","5","10","29"
"27","hubs","preferencial","200","5","10","10"
"39","hubs","preferencial","200","5","10","15"
"38","hubs","preferencial","200","5","10","24"
"24","hubs","preferencial","200","5","10","19"
"40","hubs","preferencial","200","5","10","16"
"43","hubs","preferencial","200","5","10","24"
"41","hubs","preferencial","200","5","10","16"
"47","hubs","preferencial","200","5","10","12"
"42","hubs","preferencial","200","5","10","29"
"45","hubs","preferencial","200","5","10","13"
"46","hubs","preferencial","200","5","10","14"
"50","hubs","preferencial","200","5","10","10"
"48","hubs","preferencial","200","5","10","25"
