"BehaviorSpace results (NetLogo 6.2.1)"
"EjemploCentGrado.nlogo"
"experiment"
"08/31/2022 13:09:48:152 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","tipo-semillas","num-nodos","[step]","ticks"
"1","grado-","50","21","21"
"6","grado-","50","21","21"
"9","grado-","50","19","19"
"4","grado-","50","21","21"
"5","grado-","50","37","37"
"8","grado-","50","26","26"
"7","grado-","50","30","30"
"3","grado-","50","23","23"
"2","grado-","50","26","26"
"10","grado-","50","20","20"
"11","grado-","50","27","27"
"13","grado-","50","24","24"
"12","grado-","50","36","36"
"17","grado-","50","25","25"
"14","grado-","50","26","26"
"19","grado-","50","19","19"
"15","grado-","50","23","23"
"16","grado-","50","38","38"
"20","grado-","50","31","31"
"18","grado-","50","35","35"
"22","grado-","50","26","26"
"21","grado-","50","30","30"
"24","grado-","50","31","31"
"26","grado-","50","37","37"
"27","grado-","50","21","21"
"30","grado-","50","26","26"
"28","grado-","50","31","31"
"25","grado-","50","20","20"
"31","grado-","50","25","25"
"29","grado-","50","36","36"
"23","grado-","50","28","28"
"35","grado-","50","25","25"
"32","grado-","50","52","52"
"37","grado-","50","23","23"
"33","grado-","50","29","29"
"34","grado-","50","37","37"
"38","grado-","50","33","33"
"40","grado-","50","24","24"
"39","grado-","50","21","21"
"45","grado-","50","29","29"
"46","grado-","50","30","30"
"42","grado-","50","32","32"
"41","grado-","50","30","30"
"43","grado-","50","36","36"
"49","grado-","50","27","27"
"48","grado-","50","25","25"
"36","grado-","50","41","41"
"50","grado-","50","35","35"
"44","grado-","50","21","21"
"47","grado-","50","29","29"
"53","grado-","50","25","25"
"51","grado-","50","41","41"
"54","grado-","50","23","23"
"56","grado-","50","28","28"
"58","grado-","50","36","36"
"59","grado-","50","34","34"
"57","grado-","50","31","31"
"60","grado-","50","22","22"
"63","grado-","50","20","20"
"61","grado-","50","30","30"
"55","grado-","50","31","31"
"64","grado-","50","30","30"
"62","grado-","50","20","20"
"66","grado-","50","28","28"
"65","grado-","50","30","30"
"70","grado-","50","33","33"
"71","grado-","50","29","29"
"72","grado-","50","23","23"
"52","grado-","50","21","21"
"73","grado-","50","39","39"
"67","grado-","50","44","44"
"76","grado-","50","33","33"
"74","grado-","50","27","27"
"78","grado-","50","36","36"
"77","grado-","50","35","35"
"68","grado-","50","20","20"
"79","grado-","50","32","32"
"75","grado-","50","43","43"
"80","grado-","50","29","29"
"82","grado-","50","24","24"
"81","grado-","50","33","33"
"84","grado-","50","29","29"
"85","grado-","50","31","31"
"86","grado-","50","42","42"
"87","grado-","50","26","26"
"89","grado-","50","26","26"
"88","grado-","50","31","31"
"90","grado-","50","32","32"
"83","grado-","50","47","47"
"96","grado-","50","18","18"
"93","grado-","50","29","29"
"91","grado-","50","43","43"
"94","grado-","50","23","23"
"92","grado-","50","32","32"
"98","grado-","50","28","28"
"69","grado-","50","38","38"
"101","grado-","50","28","28"
"102","grado-","50","26","26"
"100","grado-","50","24","24"
"95","grado-","50","45","45"
"97","grado-","50","24","24"
"103","grado-","50","32","32"
"108","grado-","50","28","28"
"99","grado-","50","39","39"
"107","grado-","50","28","28"
"105","grado-","50","31","31"
"104","grado-","50","35","35"
"110","grado-","50","26","26"
"106","grado-","50","26","26"
"112","grado-","50","20","20"
"115","grado-","50","30","30"
"116","grado-","50","20","20"
"109","grado-","50","26","26"
"114","grado-","50","34","34"
"119","grado-","50","23","23"
"118","grado-","50","27","27"
"117","grado-","50","23","23"
"120","grado-","50","30","30"
"122","grado-","50","32","32"
"111","grado-","50","29","29"
"124","grado-","50","35","35"
"123","grado-","50","35","35"
"126","grado-","50","31","31"
"125","grado-","50","28","28"
"127","grado-","50","27","27"
"121","grado-","50","50","50"
"128","grado-","50","28","28"
"130","grado-","50","19","19"
"131","grado-","50","24","24"
"135","grado-","50","22","22"
"133","grado-","50","27","27"
"136","grado-","50","24","24"
"132","grado-","50","30","30"
"137","grado-","50","37","37"
"134","grado-","50","34","34"
"113","grado-","50","24","24"
"138","grado-","50","22","22"
"129","grado-","50","29","29"
"139","grado-","50","41","41"
"140","grado-","50","30","30"
"142","grado-","50","40","40"
"145","grado-","50","26","26"
"148","grado-","50","36","36"
"143","grado-","50","42","42"
"146","grado-","50","30","30"
"141","grado-","50","43","43"
"144","grado-","50","51","51"
"152","grado-","50","30","30"
"149","grado-","50","32","32"
"151","grado-","50","24","24"
"150","grado-","50","37","37"
"153","grado-","50","29","29"
"155","grado-","50","27","27"
"157","grado-","50","19","19"
"154","grado-","50","32","32"
"156","grado-","50","32","32"
"159","grado-","50","28","28"
"160","grado-","50","20","20"
"158","grado-","50","22","22"
"162","grado-","50","20","20"
"164","grado-","50","30","30"
"163","grado-","50","22","22"
"161","grado-","50","39","39"
"165","grado-","50","37","37"
"170","grado-","50","29","29"
"169","grado-","50","32","32"
"167","grado-","50","28","28"
"166","grado-","50","25","25"
"147","grado-","50","22","22"
"176","grado-","50","20","20"
"173","grado-","50","18","18"
"174","grado-","50","25","25"
"171","grado-","50","32","32"
"168","grado-","50","40","40"
"177","grado-","50","28","28"
"172","grado-","50","31","31"
"178","grado-","50","27","27"
"180","grado-","50","23","23"
"182","grado-","50","52","52"
"181","grado-","50","26","26"
"183","grado-","50","35","35"
"179","grado-","50","28","28"
"185","grado-","50","37","37"
"186","grado-","50","20","20"
"188","grado-","50","25","25"
"189","grado-","50","22","22"
"187","grado-","50","26","26"
"192","grado-","50","25","25"
"191","grado-","50","35","35"
"194","grado-","50","24","24"
"196","grado-","50","28","28"
"195","grado-","50","20","20"
"175","grado-","50","40","40"
"193","grado-","50","29","29"
"198","grado-","50","34","34"
"197","grado-","50","32","32"
"200","grado-","50","25","25"
"199","grado-","50","32","32"
"201","grado-","50","35","35"
"202","grado-","50","19","19"
"203","grado-","50","23","23"
"205","grado-","50","29","29"
"207","grado-","50","22","22"
"206","grado-","50","28","28"
"209","grado-","50","20","20"
"210","grado-","50","45","45"
"204","grado-","50","24","24"
"184","grado-","50","41","41"
"212","grado-","50","22","22"
"211","grado-","50","36","36"
"208","grado-","50","40","40"
"190","grado-","50","47","47"
"214","grado-","50","33","33"
"218","grado-","50","22","22"
"213","grado-","50","37","37"
"219","grado-","50","22","22"
"216","grado-","50","33","33"
"223","grado-","50","27","27"
"220","grado-","50","26","26"
"221","grado-","50","21","21"
"222","grado-","50","29","29"
"226","grado-","50","24","24"
"215","grado-","50","35","35"
"225","grado-","50","28","28"
"224","grado-","50","22","22"
"228","grado-","50","37","37"
"217","grado-","50","22","22"
"229","grado-","50","35","35"
"230","grado-","50","27","27"
"231","grado-","50","33","33"
"234","grado-","50","33","33"
"227","grado-","50","31","31"
"236","grado-","50","34","34"
"235","grado-","50","27","27"
"239","grado-","50","30","30"
"238","grado-","50","30","30"
"233","grado-","50","34","34"
"237","grado-","50","31","31"
"241","grado-","50","30","30"
"243","grado-","50","28","28"
"232","grado-","50","32","32"
"242","grado-","50","24","24"
"245","grado-","50","26","26"
"247","grado-","50","29","29"
"246","grado-","50","32","32"
"240","grado-","50","33","33"
"244","grado-","50","52","52"
"252","grado-","50","29","29"
"255","grado-","50","26","26"
"248","grado-","50","22","22"
"250","grado-","50","39","39"
"249","grado-","50","33","33"
"251","grado-","50","42","42"
"257","grado-","50","24","24"
"258","grado-","50","27","27"
"256","grado-","50","39","39"
"254","grado-","50","28","28"
"259","grado-","50","25","25"
"261","grado-","50","23","23"
"263","grado-","50","23","23"
"262","grado-","50","26","26"
"260","grado-","50","28","28"
"264","grado-","50","31","31"
"253","grado-","50","21","21"
"265","grado-","50","36","36"
"269","grado-","50","24","24"
"268","grado-","50","31","31"
"266","grado-","50","23","23"
"271","grado-","50","24","24"
"274","grado-","50","27","27"
"277","grado-","50","31","31"
"272","grado-","50","25","25"
"275","grado-","50","27","27"
"270","grado-","50","29","29"
"276","grado-","50","32","32"
"267","grado-","50","44","44"
"273","grado-","50","41","41"
