"BehaviorSpace results (NetLogo 6.2.1)"
"EjemploCentGradoRedesDiferentes.nlogo"
"Aleat-vs-Pref"
"08/31/2022 13:29:56:919 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-26","26","-16","16"
"[run number]","prob-difusión","num-semillas","tipo-semillas","tipo-red","num-nodos","[step]","ticks"
"6","10","3","grado+","aleatoria","50","24","24"
"3","10","3","grado+","aleatoria","50","22","22"
"2","10","3","grado+","aleatoria","50","17","17"
"4","10","3","grado+","aleatoria","50","33","33"
"5","10","3","grado+","aleatoria","50","27","27"
"1","10","3","grado+","aleatoria","50","27","27"
"8","10","3","grado+","aleatoria","50","22","22"
"7","10","3","grado+","aleatoria","50","25","25"
"11","10","3","grado+","aleatoria","50","17","17"
"13","10","3","grado+","aleatoria","50","20","20"
"15","10","3","grado+","aleatoria","50","20","20"
"14","10","3","grado+","aleatoria","50","20","20"
"10","10","3","grado+","aleatoria","50","31","31"
"9","10","3","grado+","aleatoria","50","40","40"
"16","10","3","grado+","aleatoria","50","42","42"
"18","10","3","grado+","aleatoria","50","13","13"
"17","10","3","grado+","aleatoria","50","27","27"
"12","10","3","grado+","aleatoria","50","28","28"
"19","10","3","grado+","aleatoria","50","36","36"
"21","10","3","grado+","aleatoria","50","17","17"
"23","10","3","grado+","aleatoria","50","36","36"
"26","10","3","grado+","aleatoria","50","18","18"
"20","10","3","grado+","aleatoria","50","39","39"
"27","10","3","grado+","aleatoria","50","29","29"
"25","10","3","grado+","aleatoria","50","31","31"
"28","10","3","grado+","aleatoria","50","24","24"
"22","10","3","grado+","aleatoria","50","24","24"
"24","10","3","grado+","aleatoria","50","41","41"
"31","10","3","grado+","aleatoria","50","22","22"
"34","10","3","grado+","aleatoria","50","25","25"
"30","10","3","grado+","aleatoria","50","58","58"
"29","10","3","grado+","aleatoria","50","42","42"
"32","10","3","grado+","aleatoria","50","36","36"
"36","10","3","grado+","aleatoria","50","31","31"
"39","10","3","grado+","aleatoria","50","21","21"
"35","10","3","grado+","aleatoria","50","32","32"
"41","10","3","grado+","aleatoria","50","29","29"
"40","10","3","grado+","aleatoria","50","54","54"
"43","10","3","grado+","aleatoria","50","26","26"
"45","10","3","grado+","aleatoria","50","22","22"
"44","10","3","grado+","aleatoria","50","16","16"
"46","10","3","grado+","aleatoria","50","25","25"
"47","10","3","grado+","aleatoria","50","21","21"
"33","10","3","grado+","aleatoria","50","43","43"
"37","10","3","grado+","aleatoria","50","52","52"
"42","10","3","grado+","aleatoria","50","23","23"
"38","10","3","grado+","aleatoria","50","36","36"
"48","10","3","grado+","aleatoria","50","36","36"
"51","10","3","grado+","aleatoria","50","31","31"
"52","10","3","grado+","aleatoria","50","25","25"
"54","10","3","grado+","aleatoria","50","20","20"
"55","10","3","grado+","aleatoria","50","22","22"
"57","10","3","grado+","aleatoria","50","22","22"
"53","10","3","grado+","aleatoria","50","44","44"
"56","10","3","grado+","aleatoria","50","33","33"
"61","10","3","grado+","aleatoria","50","29","29"
"58","10","3","grado+","aleatoria","50","25","25"
"63","10","3","grado+","aleatoria","50","20","20"
"60","10","3","grado+","aleatoria","50","33","33"
"50","10","3","grado+","aleatoria","50","34","34"
"49","10","3","grado+","aleatoria","50","28","28"
"59","10","3","grado+","aleatoria","50","42","42"
"62","10","3","grado+","aleatoria","50","33","33"
"64","10","3","grado+","aleatoria","50","22","22"
"68","10","3","grado+","aleatoria","50","15","15"
"66","10","3","grado+","aleatoria","50","34","34"
"65","10","3","grado+","aleatoria","50","30","30"
"67","10","3","grado+","aleatoria","50","33","33"
"71","10","3","grado+","aleatoria","50","22","22"
"69","10","3","grado+","aleatoria","50","25","25"
"73","10","3","grado+","aleatoria","50","32","32"
"70","10","3","grado+","aleatoria","50","52","52"
"74","10","3","grado+","aleatoria","50","22","22"
"77","10","3","grado+","aleatoria","50","26","26"
"72","10","3","grado+","aleatoria","50","36","36"
"76","10","3","grado+","aleatoria","50","17","17"
"75","10","3","grado+","aleatoria","50","35","35"
"79","10","3","grado+","aleatoria","50","29","29"
"80","10","3","grado+","aleatoria","50","25","25"
"78","10","3","grado+","aleatoria","50","29","29"
"81","10","3","grado+","aleatoria","50","31","31"
"82","10","3","grado+","aleatoria","50","46","46"
"85","10","3","grado+","aleatoria","50","28","28"
"87","10","3","grado+","aleatoria","50","22","22"
"90","10","3","grado+","aleatoria","50","21","21"
"86","10","3","grado+","aleatoria","50","53","53"
"83","10","3","grado+","aleatoria","50","39","39"
"88","10","3","grado+","aleatoria","50","23","23"
"91","10","3","grado+","aleatoria","50","34","34"
"94","10","3","grado+","aleatoria","50","16","16"
"93","10","3","grado+","aleatoria","50","26","26"
"89","10","3","grado+","aleatoria","50","31","31"
"95","10","3","grado+","aleatoria","50","21","21"
"92","10","3","grado+","aleatoria","50","42","42"
"96","10","3","grado+","aleatoria","50","23","23"
"97","10","3","grado+","aleatoria","50","43","43"
"102","10","3","grado+","aleatoria","100","25","25"
"84","10","3","grado+","aleatoria","50","38","38"
"99","10","3","grado+","aleatoria","50","44","44"
"98","10","3","grado+","aleatoria","50","54","54"
"101","10","3","grado+","aleatoria","100","39","39"
"103","10","3","grado+","aleatoria","100","35","35"
"104","10","3","grado+","aleatoria","100","25","25"
"100","10","3","grado+","aleatoria","50","44","44"
"109","10","3","grado+","aleatoria","100","30","30"
"107","10","3","grado+","aleatoria","100","36","36"
"106","10","3","grado+","aleatoria","100","42","42"
"112","10","3","grado+","aleatoria","100","31","31"
"108","10","3","grado+","aleatoria","100","54","54"
"113","10","3","grado+","aleatoria","100","36","36"
"110","10","3","grado+","aleatoria","100","63","63"
"115","10","3","grado+","aleatoria","100","38","38"
"111","10","3","grado+","aleatoria","100","86","86"
"105","10","3","grado+","aleatoria","100","40","40"
"118","10","3","grado+","aleatoria","100","35","35"
"116","10","3","grado+","aleatoria","100","41","41"
"120","10","3","grado+","aleatoria","100","26","26"
"117","10","3","grado+","aleatoria","100","42","42"
"123","10","3","grado+","aleatoria","100","23","23"
"122","10","3","grado+","aleatoria","100","34","34"
"114","10","3","grado+","aleatoria","100","39","39"
"124","10","3","grado+","aleatoria","100","43","43"
"121","10","3","grado+","aleatoria","100","64","64"
"125","10","3","grado+","aleatoria","100","33","33"
"128","10","3","grado+","aleatoria","100","38","38"
"129","10","3","grado+","aleatoria","100","45","45"
"127","10","3","grado+","aleatoria","100","47","47"
"131","10","3","grado+","aleatoria","100","31","31"
"119","10","3","grado+","aleatoria","100","52","52"
"126","10","3","grado+","aleatoria","100","46","46"
"130","10","3","grado+","aleatoria","100","45","45"
"133","10","3","grado+","aleatoria","100","34","34"
"134","10","3","grado+","aleatoria","100","35","35"
"137","10","3","grado+","aleatoria","100","30","30"
"138","10","3","grado+","aleatoria","100","28","28"
"135","10","3","grado+","aleatoria","100","36","36"
"141","10","3","grado+","aleatoria","100","42","42"
"140","10","3","grado+","aleatoria","100","48","48"
"132","10","3","grado+","aleatoria","100","49","49"
"139","10","3","grado+","aleatoria","100","40","40"
"136","10","3","grado+","aleatoria","100","62","62"
"143","10","3","grado+","aleatoria","100","30","30"
"142","10","3","grado+","aleatoria","100","29","29"
"145","10","3","grado+","aleatoria","100","42","42"
"146","10","3","grado+","aleatoria","100","42","42"
"147","10","3","grado+","aleatoria","100","40","40"
"149","10","3","grado+","aleatoria","100","43","43"
"150","10","3","grado+","aleatoria","100","35","35"
"151","10","3","grado+","aleatoria","100","35","35"
"144","10","3","grado+","aleatoria","100","71","71"
"155","10","3","grado+","aleatoria","100","45","45"
"156","10","3","grado+","aleatoria","100","25","25"
"154","10","3","grado+","aleatoria","100","42","42"
"152","10","3","grado+","aleatoria","100","32","32"
"158","10","3","grado+","aleatoria","100","35","35"
"159","10","3","grado+","aleatoria","100","32","32"
"148","10","3","grado+","aleatoria","100","76","76"
"157","10","3","grado+","aleatoria","100","43","43"
"162","10","3","grado+","aleatoria","100","36","36"
"161","10","3","grado+","aleatoria","100","33","33"
"163","10","3","grado+","aleatoria","100","24","24"
"153","10","3","grado+","aleatoria","100","30","30"
"166","10","3","grado+","aleatoria","100","30","30"
"164","10","3","grado+","aleatoria","100","28","28"
"160","10","3","grado+","aleatoria","100","37","37"
"167","10","3","grado+","aleatoria","100","30","30"
"170","10","3","grado+","aleatoria","100","29","29"
"168","10","3","grado+","aleatoria","100","44","44"
"175","10","3","grado+","aleatoria","100","27","27"
"174","10","3","grado+","aleatoria","100","47","47"
"165","10","3","grado+","aleatoria","100","43","43"
"169","10","3","grado+","aleatoria","100","49","49"
"172","10","3","grado+","aleatoria","100","39","39"
"176","10","3","grado+","aleatoria","100","37","37"
"181","10","3","grado+","aleatoria","100","31","31"
"173","10","3","grado+","aleatoria","100","42","42"
"182","10","3","grado+","aleatoria","100","26","26"
"171","10","3","grado+","aleatoria","100","57","57"
"178","10","3","grado+","aleatoria","100","31","31"
"177","10","3","grado+","aleatoria","100","34","34"
"180","10","3","grado+","aleatoria","100","25","25"
"183","10","3","grado+","aleatoria","100","39","39"
"185","10","3","grado+","aleatoria","100","71","71"
"179","10","3","grado+","aleatoria","100","34","34"
"187","10","3","grado+","aleatoria","100","37","37"
"186","10","3","grado+","aleatoria","100","58","58"
"188","10","3","grado+","aleatoria","100","42","42"
"190","10","3","grado+","aleatoria","100","34","34"
"184","10","3","grado+","aleatoria","100","37","37"
"191","10","3","grado+","aleatoria","100","36","36"
"189","10","3","grado+","aleatoria","100","51","51"
"194","10","3","grado+","aleatoria","100","46","46"
"196","10","3","grado+","aleatoria","100","45","45"
"198","10","3","grado+","aleatoria","100","25","25"
"195","10","3","grado+","aleatoria","100","28","28"
"200","10","3","grado+","aleatoria","100","39","39"
"197","10","3","grado+","aleatoria","100","35","35"
"192","10","3","grado+","aleatoria","100","39","39"
"199","10","3","grado+","aleatoria","100","63","63"
"201","10","3","grado+","aleatoria","150","54","54"
"204","10","3","grado+","aleatoria","150","38","38"
"202","10","3","grado+","aleatoria","150","39","39"
"193","10","3","grado+","aleatoria","100","34","34"
"208","10","3","grado+","aleatoria","150","33","33"
"210","10","3","grado+","aleatoria","150","45","45"
"203","10","3","grado+","aleatoria","150","45","45"
"211","10","3","grado+","aleatoria","150","47","47"
"209","10","3","grado+","aleatoria","150","58","58"
"206","10","3","grado+","aleatoria","150","50","50"
"213","10","3","grado+","aleatoria","150","39","39"
"214","10","3","grado+","aleatoria","150","41","41"
"217","10","3","grado+","aleatoria","150","37","37"
"212","10","3","grado+","aleatoria","150","80","80"
"218","10","3","grado+","aleatoria","150","35","35"
"205","10","3","grado+","aleatoria","150","58","58"
"215","10","3","grado+","aleatoria","150","81","81"
"207","10","3","grado+","aleatoria","150","74","74"
"220","10","3","grado+","aleatoria","150","36","36"
"216","10","3","grado+","aleatoria","150","75","75"
"221","10","3","grado+","aleatoria","150","37","37"
"219","10","3","grado+","aleatoria","150","58","58"
"222","10","3","grado+","aleatoria","150","44","44"
"225","10","3","grado+","aleatoria","150","39","39"
"223","10","3","grado+","aleatoria","150","47","47"
"227","10","3","grado+","aleatoria","150","40","40"
"226","10","3","grado+","aleatoria","150","44","44"
"228","10","3","grado+","aleatoria","150","59","59"
"230","10","3","grado+","aleatoria","150","35","35"
"224","10","3","grado+","aleatoria","150","46","46"
"232","10","3","grado+","aleatoria","150","32","32"
"233","10","3","grado+","aleatoria","150","35","35"
"231","10","3","grado+","aleatoria","150","60","60"
"238","10","3","grado+","aleatoria","150","36","36"
"237","10","3","grado+","aleatoria","150","44","44"
"235","10","3","grado+","aleatoria","150","43","43"
"229","10","3","grado+","aleatoria","150","61","61"
"236","10","3","grado+","aleatoria","150","47","47"
"239","10","3","grado+","aleatoria","150","35","35"
"246","10","3","grado+","aleatoria","150","38","38"
"241","10","3","grado+","aleatoria","150","35","35"
"234","10","3","grado+","aleatoria","150","51","51"
"245","10","3","grado+","aleatoria","150","41","41"
"244","10","3","grado+","aleatoria","150","47","47"
"242","10","3","grado+","aleatoria","150","50","50"
"243","10","3","grado+","aleatoria","150","71","71"
"249","10","3","grado+","aleatoria","150","33","33"
"252","10","3","grado+","aleatoria","150","30","30"
"240","10","3","grado+","aleatoria","150","79","79"
"251","10","3","grado+","aleatoria","150","43","43"
"247","10","3","grado+","aleatoria","150","51","51"
"248","10","3","grado+","aleatoria","150","45","45"
"253","10","3","grado+","aleatoria","150","31","31"
"256","10","3","grado+","aleatoria","150","40","40"
"254","10","3","grado+","aleatoria","150","45","45"
"255","10","3","grado+","aleatoria","150","43","43"
"258","10","3","grado+","aleatoria","150","41","41"
"257","10","3","grado+","aleatoria","150","51","51"
"250","10","3","grado+","aleatoria","150","78","78"
"260","10","3","grado+","aleatoria","150","52","52"
"259","10","3","grado+","aleatoria","150","63","63"
"263","10","3","grado+","aleatoria","150","41","41"
"266","10","3","grado+","aleatoria","150","30","30"
"262","10","3","grado+","aleatoria","150","48","48"
"264","10","3","grado+","aleatoria","150","50","50"
"265","10","3","grado+","aleatoria","150","46","46"
"268","10","3","grado+","aleatoria","150","36","36"
"261","10","3","grado+","aleatoria","150","77","77"
"267","10","3","grado+","aleatoria","150","43","43"
"269","10","3","grado+","aleatoria","150","50","50"
"270","10","3","grado+","aleatoria","150","47","47"
"272","10","3","grado+","aleatoria","150","51","51"
"273","10","3","grado+","aleatoria","150","51","51"
"278","10","3","grado+","aleatoria","150","36","36"
"275","10","3","grado+","aleatoria","150","52","52"
"274","10","3","grado+","aleatoria","150","46","46"
"276","10","3","grado+","aleatoria","150","41","41"
"277","10","3","grado+","aleatoria","150","47","47"
"271","10","3","grado+","aleatoria","150","66","66"
"280","10","3","grado+","aleatoria","150","31","31"
"281","10","3","grado+","aleatoria","150","36","36"
"284","10","3","grado+","aleatoria","150","31","31"
"279","10","3","grado+","aleatoria","150","65","65"
"282","10","3","grado+","aleatoria","150","47","47"
"285","10","3","grado+","aleatoria","150","34","34"
"287","10","3","grado+","aleatoria","150","47","47"
"286","10","3","grado+","aleatoria","150","54","54"
"289","10","3","grado+","aleatoria","150","31","31"
"283","10","3","grado+","aleatoria","150","78","78"
"290","10","3","grado+","aleatoria","150","42","42"
"291","10","3","grado+","aleatoria","150","48","48"
"288","10","3","grado+","aleatoria","150","86","86"
"293","10","3","grado+","aleatoria","150","45","45"
"292","10","3","grado+","aleatoria","150","62","62"
"295","10","3","grado+","aleatoria","150","56","56"
"294","10","3","grado+","aleatoria","150","63","63"
"296","10","3","grado+","aleatoria","150","48","48"
"297","10","3","grado+","aleatoria","150","46","46"
"298","10","3","grado+","aleatoria","150","39","39"
"300","10","3","grado+","aleatoria","150","60","60"
"299","10","3","grado+","aleatoria","150","64","64"
"306","10","3","grado+","aleatoria","200","36","36"
"305","10","3","grado+","aleatoria","200","47","47"
"304","10","3","grado+","aleatoria","200","47","47"
"301","10","3","grado+","aleatoria","200","55","55"
"303","10","3","grado+","aleatoria","200","52","52"
"302","10","3","grado+","aleatoria","200","69","69"
"307","10","3","grado+","aleatoria","200","50","50"
"310","10","3","grado+","aleatoria","200","37","37"
"313","10","3","grado+","aleatoria","200","30","30"
"312","10","3","grado+","aleatoria","200","43","43"
"311","10","3","grado+","aleatoria","200","50","50"
"308","10","3","grado+","aleatoria","200","61","61"
"309","10","3","grado+","aleatoria","200","67","67"
"315","10","3","grado+","aleatoria","200","44","44"
"316","10","3","grado+","aleatoria","200","42","42"
"317","10","3","grado+","aleatoria","200","51","51"
"320","10","3","grado+","aleatoria","200","41","41"
"314","10","3","grado+","aleatoria","200","71","71"
"321","10","3","grado+","aleatoria","200","48","48"
"319","10","3","grado+","aleatoria","200","58","58"
"318","10","3","grado+","aleatoria","200","67","67"
"322","10","3","grado+","aleatoria","200","49","49"
"323","10","3","grado+","aleatoria","200","50","50"
"326","10","3","grado+","aleatoria","200","37","37"
"328","10","3","grado+","aleatoria","200","40","40"
"329","10","3","grado+","aleatoria","200","42","42"
"327","10","3","grado+","aleatoria","200","52","52"
"325","10","3","grado+","aleatoria","200","62","62"
"324","10","3","grado+","aleatoria","200","66","66"
"331","10","3","grado+","aleatoria","200","42","42"
"332","10","3","grado+","aleatoria","200","38","38"
"330","10","3","grado+","aleatoria","200","54","54"
"333","10","3","grado+","aleatoria","200","52","52"
"337","10","3","grado+","aleatoria","200","47","47"
"335","10","3","grado+","aleatoria","200","51","51"
"334","10","3","grado+","aleatoria","200","50","50"
"336","10","3","grado+","aleatoria","200","55","55"
"339","10","3","grado+","aleatoria","200","49","49"
"338","10","3","grado+","aleatoria","200","65","65"
"341","10","3","grado+","aleatoria","200","46","46"
"343","10","3","grado+","aleatoria","200","46","46"
"344","10","3","grado+","aleatoria","200","42","42"
"340","10","3","grado+","aleatoria","200","65","65"
"346","10","3","grado+","aleatoria","200","54","54"
"345","10","3","grado+","aleatoria","200","67","67"
"342","10","3","grado+","aleatoria","200","77","77"
"351","10","3","grado+","aleatoria","200","46","46"
"349","10","3","grado+","aleatoria","200","39","39"
"350","10","3","grado+","aleatoria","200","55","55"
"348","10","3","grado+","aleatoria","200","49","49"
"347","10","3","grado+","aleatoria","200","71","71"
"352","10","3","grado+","aleatoria","200","42","42"
